Country,VeryHappy,LeisureVeryImportant,FriendsVeryImportant,ReligionVeryImportant,FamilyVeryImportant,WorkVeryImportant
Argentina,32.4,40.1,59.4,33.1,91.4,70.4
Australia,35.2,44.8,57.6,19.2,93.7,34.5
Brazil,34.0,27,37.1,50.5,86.4,65.3
Chile,30.5,47.2,23.6,39.6,90.2,62.3
China,18.8,11.4,30.3,5,78.1,43.7
Taiwan,21.6,34.4,39.5,12.4,91.7,62.7
Georgia,12.1,39.3,78.1,79.5,98.7,77.9
Germany,19.3,29.7,52.4,11,81.5,49.6
India,28.9,23.6,42.3,49.7,90.1,67.9
Iraq,6.2,31.2,59.7,95.6,95.9,82.2
Japan,28.4,40.3,44.9,5.7,91.3,47.4
Jordan,29.8,36.1,62.8,94.4,96.8,66.7
South Korea,12.9,24.1,44.5,21.1,92.3,61.9
Mexico,58.3,54.9,36.1,58.7,94.9,84.9
Morocco,24.6,23.7,52.2,90.5,96,85.6
Netherlands,41.8,55.6,57.6,12,80,30.9
New Zealand,38.1,48.2,54.9,16.6,93.3,34.6
Peru,27.9,32.3,21.9,49.1,81.4,71.2
Poland,21.3,29.8,34.7,47.2,93.6,61
Romania,7.3,26.1,24.1,57,85,53.5
Russia,10.5,29.3,37.4,13.1,89,48.4
Rwanda,11.9,44.3,49.2,38.8,63.2,63.7
Slovenia,17.8,43.2,51.1,15.1,88.7,47
South Africa,42.7,37.1,33.9,69.9,95.6,77.4
Spain,13.6,43.5,49.3,14.8,88.9,51.9
Sweden,43.0,53.6,71.3,9.3,92.1,53.2
Turkey,37.3,47.2,61.8,74.6,97.7,56
Egypt,9.6,13.3,43.2,95.4,97.7,63.1
United States,34.4,37.3,59.6,47,94.2,32.2
Uruguay,30.3,42.4,51.5,22.6,89.3,69.4
