Country,VeryHappy,LeisureRatherImportant,FriendsVeryImportant,ReligionVeryImportant,FamilyVeryImportant,WorkVeryImportant
Argentina,28.8,49.3,48.6,34.9,86.6,70.3
Australia,42.8,44.4,62.6,23.1,90.2,50.8
Brazil,,,,,,64.3
Chile,27.0,43.6,27.6,41.8,88.8,63.9
China,22.7,43.9,29.3,3.9,76.5,
Taiwan,29.7,51.8,29,12.6,77.7,44.4
Georgia,11.6,44.8,73.6,49.3,94.6,
Germany,17.9,,,,,57.8
India,29.9,24.9,37.5,48.2,90.8,40.6
Iraq,,,,,,82.4
Japan,32.5,49.1,48.1,6.4,89.8,53.5
Jordan,,,,,,
South Korea,11.9,62.8,45.2,19.8,90.1,57.5
Mexico,31.5,36.5,28.9,45.4,74.3,63.4
Morocco,,,,,,
Netherlands,,,,,,
New Zealand,32.8,,,,,45
Peru,28.2,38,21.9,53.3,87.4,72.8
Poland,18.3,54.9,26,46.4,89.7,63.3
Romania,5.1,45.4,20.7,37.5,88.6,58.8
Russia,6.1,44.5,29.2,14,83.7,48.6
Rwanda,,,,,,
Slovenia,13.4,44.4,41,16.3,82,54.9
South Africa,35.3,39.7,27,67.8,93.1,79.5
Spain,18.7,52,40.7,25.2,81.8,59.1
Sweden,39.2,43,69.9,9.5,90.2,64.6
Turkey,51.0,38.3,71.2,83.3,96.6,76
Egypt,,,,,,
United States,46.3,45.7,69.4,55.9,95.2,55.2
Uruguay,20.6,,,,,
