Country,FinancialSatisfactionAverage,FinancialSatisfaction1,FinancialSatisfaction2,FinancialSatisfaction3,FinancialSatisfaction4,FinancialSatisfaction5,FinancialSatisfaction6,FinancialSatisfaction7,FinancialSatisfaction8,FinancialSatisfaction9,FinancialSatisfaction10,HealthVeryGood,HealthGood,HealthFair,HealthPoor,VeryHappy,QuiteHappy,NotVeryHappy,NotHappyAtAll,WorkVeryImportant,WorkRatherImportant,WorkNotVeryImportant,WorkNotImportantAtAll,LeisureVeryImportant,LeisureRatherImportant,LeisureNotVeryImportant,LeisureNotImportantAtAll,FriendsVeryImportant,FriendsRatherImportant,FriendsNotVeryImportant,FriendsNotImportantAtAll,ReligionVeryImportant,ReligionRatherImportant,ReligionNotVeryImportant,ReligionNotImportantAtAll,FamilyVeryImportant,FamilyRatherImportant,FamilyNotVeryImportant,FamilyNotImportantAtAll,,,,,
Argentina,6.5,1.1,1.8,2.8,8.1,12.1,18.6,22.2,22.4,6.6,3.5,28.5,46.4,19.9,4.8,33,53,12,1,57.4,29.8,7,4.4,33.7,43,18.7,3.9,53.9,33.6,10.5,1.7,24.1,32.1,24.7,17.8,88.9,10.2,0.4,0.3,,,,,
Australia,6.3,3.3,3.2,8.9,6.6,15.6,10.5,15.0,16.5,9.4,10.1,31.6,46.2,18.5,3.1,35,58,6,1,30.2,51.4,8.6,5.9,41,48.3,7,0.6,55.6,37.5,3.5,0.4,14.1,17,27.9,37.4,92.5,6.1,0.6,0.2,,,,,
Brazil,6.2,8.6,3.0,6.0,4.9,18.3,10.3,13.8,12.3,6.1,16.5,24.2,47,25.5,3.1,35,57,7,1,63.6,34.2,1.3,0.6,32.8,54.6,10.4,1.8,33,50,15.1,1.7,51.5,37.9,7.3,3.2,87.4,11.3,1,0.2,,,,,
Chile,6.0,2.2,1.7,6.3,11.7,21.4,15.2,16.6,14.1,5.5,5.0,19,53.7,23.8,3.4,24,60,14,1,56.3,32.5,5.8,2.9,56.1,34.1,7.6,1.4,35.1,43.6,18,2.2,23.8,35.1,27.3,13,91.7,7.1,1,0.2,,,,,
China,6.2,2.2,2.5,5.7,8.9,13.4,16.8,20.6,18.7,6.1,2.9,23.6,45.1,24.7,6.1,16,69,13,1,38.1,41.5,13.3,2.7,21.2,48.6,24.4,1.7,46.6,44.4,6.7,0.4,2.6,8,29.6,49.8,85.7,12.8,0.5,0.1,,,,,
Taiwan,6.4,5.1,1.6,3.7,4.7,16.6,17.1,16.9,15.8,6.0,10.1,27.4,58.9,10.8,2.7,26,64,8,1,60.2,29.9,6.2,2.5,35.5,48.8,12.7,1.2,44,46.3,8,0.6,17.7,35,37.2,8.6,90.9,7.9,0.6,0.1,,,,,
Georgia,4.0,15.3,14.2,17.3,10.2,20.5,7.1,7.3,5.5,0.7,1.7,13.6,29,37.4,20,22,48,25,5,73.1,15.6,6.4,4.7,32.4,40.8,19.4,7.3,74,23.4,2.2,0.3,84.9,12.1,2.1,0.8,98.4,1.5,0.1,0,,,,,
Germany,6.6,3.3,2.1,6.0,7.2,11.6,10.4,19.1,18.7,7.8,12.7,27.7,39.1,25.3,7.8,23,61,13,2,39.4,40.5,9.9,7,31.6,55.8,11.4,1,50.9,42.6,6.1,0.3,13.1,24.9,36.1,25.6,77.6,17.9,3.6,0.6,,,,,
India,5.9,4.2,4.1,6.7,10.8,17.9,15.0,14.1,11.8,6.4,8.6,26.5,45.3,20.6,7.3,37,50,11,1,77.3,16.8,2.5,1.7,34.9,35.2,19.1,9,44.9,40.4,9.5,3.5,67.1,24.2,5.5,1.8,94.9,4.3,0.3,0,,,,,
Iraq,5.9,2.2,3.3,8.0,9.9,18.7,17.4,20.2,11.4,4.7,3.8,16.2,49.2,27.3,6.8,11,58,26,5,66,24.8,6.8,2.3,16.8,42.2,31.4,8.8,47.8,39.4,10.8,1.8,84.7,12.8,2.3,0.2,92.9,6.4,0.5,0.2,,,,,
