Country,FinancialSatisfactionAverage,FinancialSatisfaction1,FinancialSatisfaction2,FinancialSatisfaction3,FinancialSatisfaction4,FinancialSatisfaction5,FinancialSatisfaction6,FinancialSatisfaction7,FinancialSatisfaction8,FinancialSatisfaction9,FinancialSatisfaction10,HealthVeryGood,HealthGood,HealthFair,HealthPoor,VeryHappy,QuiteHappy,NotVeryHappy,NotHappyAtAll,WorkVeryImportant,WorkRatherImportant,WorkNotVeryImportant,WorkNotImportantAtAll,LeisureVeryImportant,LeisureRatherImportant,LeisureNotVeryImportant,LeisureNotImportantAtAll,FriendsVeryImportant,FriendsRatherImportant,FriendsNotVeryImportant,FriendsNotImportantAtAll,ReligionVeryImportant,ReligionRatherImportant,ReligionNotVeryImportant,ReligionNotImportantAtAll,FamilyVeryImportant,FamilyRatherImportant,FamilyNotVeryImportant,FamilyNotImportantAtAll
Argentina,5.0,15.7,4.4,6.3,10.3,20.1,14.0,13.3,8.3,1.8,4.8,20.4,40.6,27.9,9.6,29,53,15,2,70.3,26.4,2.3,0.9,26.4,49.3,20,3.3,48.6,35.1,14.3,1.8,34.9,31.1,21.3,11.8,86.6,12.1,1.3,0.1
Australia,,,,,,,,,,,,,,,,43,52,4,1,50.8,35.4,8.9,4,44.4,44.4,9.8,0.6,62.6,32.9,3.8,0.2,23.1,24.6,32.2,19.2,90.2,8,1.4,0.4
Brazil,,,,,,,,,,,,,,,,,,,,64.3,27.8,4.7,0.9,,,,,,,,,,,,,,,,
Chile,5.9,6.1,2.0,5.7,9.3,20.6,16.1,15.5,12.9,4.7,7.1,15.8,45.2,31.8,6.2,27,53,19,1,63.9,27.3,5.6,1,42,43.6,10.7,1.8,27.6,36.1,30.4,4.8,41.8,31.3,19,5.6,88.8,8.9,1.1,0.1
China,6.1,5.4,4.1,6.3,6.5,16.7,15.3,14.9,13.1,6.2,10.9,35.8,32.2,25.9,5.1,23,61,14,2,,,,,10.7,43.9,36.6,6,29.3,54.9,12.9,1,3.9,10.3,30.8,44,76.5,22,1.2,0.1
Taiwan,,,,,,,,,,,,,,,,30,61,7,2,44.4,45.8,8.1,1.2,25.8,51.8,20.8,1,29,58.6,11.3,0.4,12.6,35.1,44.7,6,77.7,20.6,0.9,0.4
Georgia,,,,,,,,,,,,,,,,12,54,29,5,,,,,36.2,44.8,14.1,4.3,73.6,23.4,2.7,0.3,49.3,34.1,10.8,5.6,94.6,4.3,0.5,0.4
Germany,,,,,,,,,,,,,,,,18,63,15,3,57.8,21.6,10.5,9.1,,,,,,,,,,,,,,,,
India,6.1,4.6,2.9,7.1,10.5,14.4,9.3,11.7,13.6,7.6,10.7,17.7,39.3,35.1,5.9,30,46,20,3,40.6,43.8,11.4,3.3,11.1,24.9,40.1,21.9,37.5,40,18.6,3,48.2,29.5,13.9,7,90.8,7.9,0.9,0.1
Iraq,,,,,,,,,,,,,,,,,,,,82.4,14.8,1.6,0.6,,,,,,,,,,,,,,,,
Japan,6.3,2.7,1.3,5.9,5.8,13.0,21.6,15.3,20.6,5.3,5.1,14.4,39.5,38,6.6,33,57,9,1,53.5,34,7.8,1.6,39.8,49.1,8.8,0.6,48.1,46.5,4,0.3,6.4,14.9,38.3,31.7,89.8,8.3,0.7,0.2
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,5.7,3.8,2.4,7.0,8.6,27.2,16.2,15.5,11.7,3.0,3.8,14.8,64.5,19.3,1.3,12,77,10,1,57.5,33.6,6,1.7,22.7,62.8,12.4,1.3,45.2,50.6,3,0.3,19.8,30.8,32.6,15.7,90.1,9.1,0.4,0
Mexico,7.3,3.4,1.4,3.4,4.6,7.9,9.3,12.9,20.7,13.0,21.2,17.8,40.7,32.3,7,32,38,26,3,63.4,28.2,6,0.9,35.5,36.5,23,3.6,28.9,38.7,28.1,3.6,45.4,33.2,17.1,3,74.3,22.1,3,0.3
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,33,62,4,1,45,40.6,6,3,,,,,,,,,,,,,,,,
Peru,5.1,13.4,3.6,8.4,9.1,21.1,14.4,10.7,8.2,2.1,6.6,10.2,40.2,46.7,2.4,28,35,35,1,72.8,22.8,1.2,0.5,28.5,38,25.9,4.3,21.9,36.3,35.8,4.1,53.3,28.4,12.9,2.2,87.4,11.1,1.2,0
Poland,,,,,,,,,,,,,,,,18,67,12,3,63.3,30.4,3.1,2.3,23,54.9,16.7,2.4,26,58.3,14.3,1,46.4,36.3,13,3.2,89.7,9.5,0.2,0.2
Romania,,,,,,,,,,,,,,,,5,51,35,7,58.8,34.6,5.3,0.9,27,45.4,21.1,5.1,20.7,47.2,28.2,3.4,37.5,37.6,17.8,4.8,88.6,8.9,2,0.2
Russia,,,,,,,,,,,,,,,,6,44,40,8,48.6,34.1,9.4,6.4,25.8,44.5,24.4,3.8,29.2,49.6,19.3,1.5,14,25.9,34.8,22.5,83.7,12.6,2.6,0.7
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,13,60,23,3,54.9,39,5.1,1,33.3,44.4,19.1,2.7,41,46.1,12.1,0.5,16.3,26.7,34.2,21.8,82,14.5,1.8,1.1
South Africa,4.2,28.0,8.0,10.9,9.6,11.2,7.5,6.8,7.1,2.3,8.0,34.2,33.8,21.7,7.5,35,37,22,6,79.5,13.6,3.4,2.2,31.5,39.7,19.6,7.7,27,35.4,24.6,12.3,67.8,22.1,7,2.5,93.1,4.7,1.7,0.4
Spain,5.6,4.0,3.2,7.3,8.7,23.9,18.1,22.8,1.2,5.1,4.9,18.1,52.2,23.5,5,19,68,12,1,59.1,30.6,6.8,3.1,30.2,52,15.4,1.4,40.7,49.2,8.3,1.3,25.2,32.5,27.8,13.9,81.8,17.3,0.5,0.3
Sweden,,,,,,,,,,,,39.2,37.2,17.9,5,39,55,4,1,64.6,29.2,2.9,2.1,51.4,43,4.4,0.7,69.9,28.2,1.6,0.3,9.5,19.7,42.6,27.2,90.2,8.2,1.4,0.2
Turkey,5.1,8.3,4.1,9.3,8.0,35.9,11.8,9.3,6.6,1.0,5.2,18.2,42.6,31.1,7.3,51,37,9,2,76,18.7,3.3,1.1,40.1,38.3,16.6,3.3,71.2,26.7,1.6,0.2,83.3,10.2,4.1,2.4,96.6,3,0.2,0.1
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,6.5,5.5,2.7,5.4,7.1,13.1,10.9,16.6,16.5,7.7,14.0,40.2,39,16.7,3.3,46,48,5,1,55.2,30.5,8.1,5.5,42.3,45.7,10.7,0.8,69.4,26.4,3.8,0.3,55.9,26.2,12.4,5.2,95.2,4,0.6,0.1
Uruguay,,,,,,,,,,,,,,,,21,59,18,2,,,,,,,,,,,,,,,,,,,,
